order_id,weight,product_type,origin_port,customer_id,service_level
0,6.566999999999999,4,6,1429,CRF
1,2.4090000000000003,0,1,1287,DTD
2,4.638,1,8,787,DTD
3,1.8150000000000002,0,8,967,DTD
4,7.346,7,9,260,DTD
5,3.924,6,3,1576,DTD
6,1.32,3,4,1457,DTD
7,3.869,3,0,1074,DTP
8,0.622,6,6,1628,DTD
9,28.353,5,4,78,DTD
10,0.32,8,7,1571,DTD
11,3.4290000000000003,5,5,88,DTD
12,0.14400000000000002,0,1,587,DTP
13,2.002,0,0,137,DTD
14,2.462,6,10,928,DTD
15,5.167999999999999,1,6,497,DTP
16,1.859,8,0,1753,DTD
17,1.07,8,10,862,DTD
18,0.317,4,9,1812,DTD
19,0.858,8,5,1740,DTD
20,6.106,5,2,1803,DTP
21,1.62,8,3,1849,DTD
22,2.498,9,7,1860,DTD
23,1.2930000000000001,1,4,1459,DTD
24,5.332,5,1,1020,CRF
25,5.159999999999999,9,3,420,DTP
26,0.846,0,9,1683,DTD
27,1.9020000000000001,6,4,485,DTD
28,3.0900000000000003,2,10,509,DTD
29,38.407000000000004,2,1,137,DTD
30,1.368,9,8,1446,DTD
31,1.0290000000000001,1,4,651,DTP
32,7.931,1,2,201,CRF
33,5.9639999999999995,6,5,397,DTD
34,16.919,3,0,12,DTD
35,1.114,3,7,616,DTD
36,0.41000000000000003,0,5,1339,DTD
37,3.4290000000000003,1,4,1102,DTD
38,2.045,6,4,1406,CRF
39,2.9,1,1,1728,DTD
40,3.247,8,7,1630,DTD
41,2.091,9,3,979,DTD
42,8.299,2,0,184,DTP
43,17.128,7,6,1934,DTD
44,2.321,8,2,1635,DTP
45,3.097,6,5,61,DTD
46,3.402,8,7,109,DTD
47,10.964,6,4,726,DTD
48,3.497,8,10,1971,DTD
49,14.655,9,7,705,DTD
50,7.425,7,10,610,DTP
51,1.445,1,0,1330,DTP
52,2.176,0,9,474,DTD
53,10.155999999999999,6,2,1209,DTD
54,2.803,4,4,1920,DTD
55,2.571,7,3,1626,DTP
56,7.773,4,6,1094,DTD
57,2.4410000000000003,3,6,1862,DTD
58,8.623,3,8,1730,DTD
59,11.626999999999999,7,7,1975,DTD
60,1.744,8,0,575,DTD
61,1.2180000000000002,8,8,59,DTP
62,11.068999999999999,8,0,757,DTD
63,4.707,7,3,1601,DTD
64,1.853,8,8,739,DTD
65,0.76,2,8,864,DTD
66,1.249,3,10,446,DTP
67,6.637,8,9,694,DTD
68,1.193,3,5,1074,DTD
69,4.092,8,8,880,DTP
70,3.055,4,3,730,DTP
71,0.266,8,3,37,DTP
72,2.557,1,1,1028,DTD
73,6.117,8,10,1364,DTD
74,8.318,8,0,614,DTD
75,0.391,2,7,716,DTD
76,6.145,9,6,140,DTD
77,9.032,2,9,381,CRF
78,0.59,3,9,479,DTD
79,10.038,7,1,1217,DTD
80,3.927,3,10,1287,DTP
81,2.049,0,5,1517,DTD
82,0.779,0,6,1572,CRF
